               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,             0.05127,            0.042311,                   0,             0.87418,             0.67491,             0.74511,             0.40624,            0.048134,            0.041857,                   0,           0.0054435,           0.0054435,           0.0054435
                 128,            0.050951,            0.041892,                   0,              0.8739,             0.67496,             0.74505,              0.4063,            0.048127,            0.041853,                   0,           0.0053869,           0.0053869,           0.0053869
                 129,            0.051469,             0.04234,                   0,             0.86945,             0.67781,             0.74525,              0.4065,             0.04812,            0.041853,                   0,           0.0053304,           0.0053304,           0.0053304
                 130,            0.051319,            0.042466,                   0,             0.87071,              0.6774,             0.74557,             0.40666,            0.048112,            0.041848,                   0,           0.0052739,           0.0052739,           0.0052739
                 131,            0.051523,            0.043734,                   0,             0.87096,               0.677,             0.74544,             0.40664,            0.048105,             0.04184,                   0,           0.0052174,           0.0052174,           0.0052174
                 132,            0.050961,            0.041721,                   0,             0.87762,             0.67329,             0.74555,             0.40676,            0.048098,            0.041846,                   0,            0.005161,            0.005161,            0.005161
                 133,            0.051009,            0.041615,                   0,              0.8793,             0.67241,             0.74568,             0.40692,            0.048092,            0.041842,                   0,           0.0051047,           0.0051047,           0.0051047
                 134,            0.051509,            0.042613,                   0,             0.87774,              0.6739,             0.74626,             0.40716,            0.048085,            0.041846,                   0,           0.0050484,           0.0050484,           0.0050484
                 135,             0.05053,            0.041744,                   0,             0.87919,             0.67318,             0.74617,             0.40728,            0.048078,             0.04184,                   0,           0.0049921,           0.0049921,           0.0049921
                 136,            0.050733,             0.04176,                   0,             0.87793,             0.67418,             0.74644,             0.40749,            0.048071,            0.041839,                   0,            0.004936,            0.004936,            0.004936
                 137,            0.051657,             0.04287,                   0,             0.87882,             0.67379,              0.7468,             0.40757,            0.048064,            0.041838,                   0,           0.0048799,           0.0048799,           0.0048799
                 138,            0.050676,            0.041935,                   0,             0.87802,               0.674,             0.74671,              0.4076,            0.048057,            0.041841,                   0,            0.004824,            0.004824,            0.004824
                 139,            0.051931,            0.043173,                   0,             0.86779,              0.6804,             0.74697,             0.40778,             0.04805,            0.041836,                   0,           0.0047681,           0.0047681,           0.0047681
                 140,            0.050962,             0.04241,                   0,             0.87894,             0.67377,             0.74708,             0.40792,            0.048041,            0.041831,                   0,           0.0047124,           0.0047124,           0.0047124
                 141,            0.050988,            0.041692,                   0,             0.87902,              0.6739,             0.74711,             0.40801,            0.048036,            0.041823,                   0,           0.0046568,           0.0046568,           0.0046568
                 142,            0.051016,            0.042431,                   0,             0.87928,             0.67393,             0.74711,             0.40823,             0.04803,            0.041825,                   0,           0.0046013,           0.0046013,           0.0046013
                 143,            0.051038,            0.041648,                   0,             0.88194,             0.67239,             0.74726,             0.40825,            0.048024,            0.041818,                   0,            0.004546,            0.004546,            0.004546
                 144,            0.051528,            0.042371,                   0,             0.87868,              0.6745,              0.7474,             0.40847,            0.048017,            0.041816,                   0,           0.0044908,           0.0044908,           0.0044908
                 145,            0.050326,            0.041458,                   0,             0.88005,             0.67385,             0.74754,             0.40853,            0.048009,             0.04181,                   0,           0.0044358,           0.0044358,           0.0044358
                 146,            0.050786,            0.042233,                   0,             0.86475,              0.6831,             0.74741,             0.40869,            0.048003,            0.041808,                   0,           0.0043809,           0.0043809,           0.0043809
                 147,            0.050688,            0.041912,                   0,             0.86349,             0.68365,              0.7472,             0.40877,            0.047995,            0.041807,                   0,           0.0043262,           0.0043262,           0.0043262
                 148,             0.05074,            0.042592,                   0,             0.86535,             0.68285,              0.7474,             0.40885,            0.047988,            0.041801,                   0,           0.0042717,           0.0042717,           0.0042717
                 149,            0.050281,            0.041633,                   0,             0.86667,             0.68232,             0.74761,             0.40898,            0.047982,            0.041801,                   0,           0.0042174,           0.0042174,           0.0042174
                 150,            0.049777,             0.04176,                   0,             0.86642,             0.68242,             0.74761,             0.40915,            0.047975,            0.041797,                   0,           0.0041633,           0.0041633,           0.0041633
                 151,            0.050036,            0.041517,                   0,             0.86623,             0.68256,             0.74786,             0.40941,            0.047968,            0.041791,                   0,           0.0041094,           0.0041094,           0.0041094
                 152,            0.050349,            0.041339,                   0,             0.86706,             0.68208,             0.74786,             0.40936,            0.047964,            0.041792,                   0,           0.0040558,           0.0040558,           0.0040558
                 153,            0.050509,            0.041491,                   0,             0.86746,             0.68211,             0.74819,             0.40956,            0.047957,            0.041795,                   0,           0.0040023,           0.0040023,           0.0040023
                 154,            0.049752,            0.041303,                   0,             0.86896,             0.68111,             0.74807,              0.4095,            0.047952,            0.041794,                   0,           0.0039491,           0.0039491,           0.0039491
                 155,            0.050441,            0.041614,                   0,             0.86874,             0.68151,              0.7483,             0.40959,            0.047946,            0.041795,                   0,           0.0038961,           0.0038961,           0.0038961
                 156,            0.049718,            0.040721,                   0,             0.86725,             0.68251,             0.74839,             0.40975,            0.047941,            0.041799,                   0,           0.0038434,           0.0038434,           0.0038434
                 157,            0.050365,            0.041127,                   0,             0.86638,              0.6831,              0.7485,              0.4099,            0.047935,            0.041799,                   0,            0.003791,            0.003791,            0.003791
